Name,KNeighborsClassifier,RandomForestClassifier,GradientBoostingClassifier,SVC,Majority
5,5,5,5,5,5.0
2,2,2,2,2,2.0
3,3,3,3,3,3.0
4,4,4,4,4,4.0
1,1,1,1,1,1.0
2,2,2,2,2,2.0
5,5,5,5,5,5.0
6,6,6,6,6,6.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
2,2,2,2,2,2.0
6,6,6,6,6,6.0
3,3,3,3,3,3.0
5,5,5,5,5,5.0
4,4,4,4,4,4.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
3,3,3,3,3,3.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
1,1,1,1,1,1.0
4,4,4,4,4,4.0
2,2,2,2,2,2.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
2,4,2,2,4,2.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
3,3,3,5,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
2,2,2,2,2,2.0
5,5,5,5,5,5.0
4,4,4,4,4,4.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
5,5,5,5,5,5.0
3,3,3,3,3,3.0
2,2,2,2,2,2.0
3,3,3,3,3,3.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
4,4,4,4,4,4.0
2,2,2,2,2,2.0
3,3,3,3,3,3.0
6,6,6,6,6,6.0
2,2,2,2,2,2.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
3,3,3,3,3,3.0
4,4,4,4,4,4.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
2,2,2,2,2,2.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
6,6,6,6,6,6.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
1,1,1,1,1,1.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
2,2,2,2,2,2.0
3,3,3,3,3,3.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
6,6,6,6,6,6.0
6,6,6,6,6,6.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,2,2,4,2,2.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
6,6,6,6,6,6.0
6,6,6,6,6,6.0
6,6,6,6,6,6.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,2,4,2,2,2.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
4,4,4,4,4,4.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
4,4,4,4,4,4.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
4,4,4,4,4,4.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
6,6,6,6,6,6.0
6,6,6,6,6,6.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
6,6,6,6,6,6.0
6,6,6,6,6,6.0
6,6,6,6,6,6.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
5,5,5,5,5,5.0
5,5,5,5,5,5.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
1,1,1,1,1,1.0
2,2,2,2,2,2.0
2,2,2,2,2,2.0
4,4,4,4,4,4.0
4,4,4,4,4,4.0
3,3,3,3,3,3.0
3,3,3,3,3,3.0
1,1,1,1,1,1.0
